run,bend_no,feed_before_ft,feed_before_mm,angle_deg,roll_deg,roll_dir
1,1,4.5,1371.6,90.0,0,
1,2,5.42,1651.0,30.0,90.0,CW
1,3,6.42,1955.8,45.0,180.0,
1,4,3.44,1049.0,45.0,0.0,
1,5,36.47,11116.9,30.0,90.0,CW
1,6,4.63,1411.5,30.0,180.0,
1,7,106.27,32390.8,82.6,90.0,CCW
2,1,11.46,3493.2,90.0,0,
2,2,116.01,35358.5,90.0,180.0,
2,3,4.58,1397.0,90.0,90.0,CW
3,1,11.79,3594.8,90.0,0,
3,2,115.92,35333.1,90.0,180.0,
3,3,4.25,1295.4,90.0,90.0,CW
4,1,12.13,3696.4,90.0,0,
4,2,115.59,35231.5,90.0,180.0,
4,3,3.92,1193.8,90.0,90.0,CW
5,1,12.46,3798.0,90.0,0,
5,2,115.51,35206.1,90.0,180.0,
5,3,3.58,1092.2,90.0,90.0,CW
6,1,4.71,1435.1,90.0,0,
6,2,10.79,3289.9,90.0,90.0,CCW
6,3,109.79,33465.1,90.0,180.0,
6,4,12.59,3836.1,90.0,0.0,
7,1,5.17,1574.8,90.0,0,
7,2,18.73,5709.3,90.0,90.0,CCW
7,3,90.3,27522.6,90.0,180.0,
7,4,4.92,1498.6,90.0,90.0,CW
8,1,5.29,1612.9,90.0,0,
8,2,9.77,2978.1,90.0,90.0,CCW
9,1,111.92,34112.5,90.0,0,
9,2,5.57,1697.8,14.0,180.0,
9,3,4.58,1397.0,90.0,90.0,CCW
10,1,111.98,34132.9,90.0,0,
10,2,4.49,1368.6,10.0,180.0,
10,3,6.0,1828.8,90.0,90.0,CCW
11,1,5.08,1549.4,90.0,0,
11,2,17.0,5181.6,45.0,90.0,CCW
11,3,2.88,877.6,45.0,0.0,
11,4,85.65,26105.6,7.5,90.0,CW
11,5,2.54,774.5,82.6,90.0,CW
12,1,4.67,1422.4,90.0,0,
12,2,2.27,692.9,22.5,90.0,CW
12,3,9.2,2804.8,90.0,0.0,
13,1,5.62,1714.5,90.0,0,
13,2,3.25,990.6,10.0,90.0,CW
13,3,6.33,1928.6,90.0,0.0,
14,1,5.75,1752.6,90.0,0,
14,2,4.8,1462.1,6.0,90.0,CCW
14,3,4.5,1371.6,90.0,0.0,
14,4,15.8,4817.3,10.0,90.0,CW
14,5,1.92,585.1,10.0,180.0,
15,1,4.71,1435.1,90.0,0,
15,2,11.96,3644.0,90.0,90.0,CCW
