run,piece,pieces_in_run,length_ft,cut_length_ft,start_coupler,end_coupler,num_bends,operations,instructions
1,1,19,9.42,9.08,0,1,1,90° bend,"feed 3 ft 8-1/2 in, bend 90 (roll 0) ; tail 4 ft 1-1/2 in"
1,2,19,9.86,9.81,1,1,2,30° bend; 45° bend,"feed 3-7/16 in, bend 30 (roll 90 CW) ; feed 5 ft 10-1/2 in, bend 45 (roll 180) ; tail 2 ft 7-3/8 in"
1,3,19,10.0,9.97,1,1,1,45° bend,"feed 2-1/16 in, bend 45 (roll 0) ; tail 9 ft 2-1/16 in"
1,4,19,10.0,10.0,1,1,0,,tail 10 ft
1,5,19,10.0,10.0,1,1,0,,tail 10 ft
1,6,19,10.0,9.99,1,1,1,30° bend,"feed 6 ft 9-1/8 in, bend 30 (roll 90 CW) ; tail 2 ft 9-3/4 in"
1,7,19,10.0,9.99,1,1,1,30° bend,"feed 1 ft 4-11/16 in, bend 30 (roll 180) ; tail 8 ft 2-3/16 in"
1,8,19,10.0,10.0,1,1,0,,tail 10 ft
1,9,19,10.0,10.0,1,1,0,,tail 10 ft
1,10,19,10.0,10.0,1,1,0,,tail 10 ft
1,11,19,10.0,10.0,1,1,0,,tail 10 ft
1,12,19,10.0,10.0,1,1,0,,tail 10 ft
1,13,19,10.0,10.0,1,1,0,,tail 10 ft
1,14,19,10.0,10.0,1,1,0,,tail 10 ft
1,15,19,10.0,10.0,1,1,0,,tail 10 ft
1,16,19,10.0,10.0,1,1,0,,tail 10 ft
1,17,19,10.0,9.75,1,1,1,82.6° bend,"feed 7 ft 2-1/8 in, bend 82.6 (roll 90 CCW) ; tail 1 ft 5-3/16 in"
1,18,19,10.0,10.0,1,1,0,,tail 10 ft
1,19,19,1.45,1.45,1,0,0,,tail 1 ft 5-3/8 in
2,1,15,10.0,10.0,0,1,0,,tail 10 ft
2,2,15,10.0,9.66,1,1,1,90° bend,"feed 8 in, bend 90 (roll 0) ; tail 7 ft 9 in"
2,3,15,10.0,10.0,1,1,0,,tail 10 ft
2,4,15,10.0,10.0,1,1,0,,tail 10 ft
2,5,15,10.0,10.0,1,1,0,,tail 10 ft
2,6,15,10.0,10.0,1,1,0,,tail 10 ft
2,7,15,10.0,10.0,1,1,0,,tail 10 ft
2,8,15,10.0,10.0,1,1,0,,tail 10 ft
2,9,15,10.0,10.0,1,1,0,,tail 10 ft
2,10,15,10.0,10.0,1,1,0,,tail 10 ft
2,11,15,10.0,10.0,1,1,0,,tail 10 ft
2,12,15,10.0,10.0,1,1,0,,tail 10 ft
2,13,15,10.0,9.66,1,1,1,90° bend,"feed 6 ft 8-1/8 in, bend 90 (roll 180) ; tail 1 ft 8-7/8 in"
2,14,15,10.0,9.66,1,1,1,90° bend,"feed 1 ft 3-1/8 in, bend 90 (roll 90 CW) ; tail 7 ft 1-7/8 in"
2,15,15,3.38,3.38,1,0,0,,tail 3 ft 4-5/8 in
3,1,15,10.0,10.0,0,1,0,,tail 10 ft
3,2,15,10.0,9.66,1,1,1,90° bend,"feed 1 ft, bend 90 (roll 0) ; tail 7 ft 5 in"
3,3,15,10.0,10.0,1,1,0,,tail 10 ft
3,4,15,10.0,10.0,1,1,0,,tail 10 ft
3,5,15,10.0,10.0,1,1,0,,tail 10 ft
3,6,15,10.0,10.0,1,1,0,,tail 10 ft
3,7,15,10.0,10.0,1,1,0,,tail 10 ft
3,8,15,10.0,10.0,1,1,0,,tail 10 ft
3,9,15,10.0,10.0,1,1,0,,tail 10 ft
3,10,15,10.0,10.0,1,1,0,,tail 10 ft
3,11,15,10.0,10.0,1,1,0,,tail 10 ft
3,12,15,10.0,10.0,1,1,0,,tail 10 ft
3,13,15,10.0,9.66,1,1,1,90° bend,"feed 6 ft 11-1/8 in, bend 90 (roll 180) ; tail 1 ft 5-7/8 in"
3,14,15,10.0,9.66,1,1,1,90° bend,"feed 1 ft 2-1/8 in, bend 90 (roll 90 CW) ; tail 7 ft 2-7/8 in"
3,15,15,3.3,3.3,1,0,0,,tail 3 ft 3-5/8 in
4,1,15,10.0,10.0,0,1,0,,tail 10 ft
4,2,15,10.0,9.66,1,1,1,90° bend,"feed 1 ft 4 in, bend 90 (roll 0) ; tail 7 ft 1 in"
4,3,15,10.0,10.0,1,1,0,,tail 10 ft
4,4,15,10.0,10.0,1,1,0,,tail 10 ft
4,5,15,10.0,10.0,1,1,0,,tail 10 ft
4,6,15,10.0,10.0,1,1,0,,tail 10 ft
4,7,15,10.0,10.0,1,1,0,,tail 10 ft
4,8,15,10.0,10.0,1,1,0,,tail 10 ft
4,9,15,10.0,10.0,1,1,0,,tail 10 ft
4,10,15,10.0,10.0,1,1,0,,tail 10 ft
4,11,15,10.0,10.0,1,1,0,,tail 10 ft
4,12,15,10.0,10.0,1,1,0,,tail 10 ft
4,13,15,10.0,9.66,1,1,1,90° bend,"feed 6 ft 11-1/8 in, bend 90 (roll 180) ; tail 1 ft 5-7/8 in"
4,14,15,10.0,9.66,1,1,1,90° bend,"feed 10-1/8 in, bend 90 (roll 90 CW) ; tail 7 ft 6-7/8 in"
4,15,15,2.97,2.97,1,0,0,,tail 2 ft 11-5/8 in
5,1,15,10.0,10.0,0,1,0,,tail 10 ft
5,2,15,10.0,9.66,1,1,1,90° bend,"feed 1 ft 8 in, bend 90 (roll 0) ; tail 6 ft 9 in"
5,3,15,10.0,10.0,1,1,0,,tail 10 ft
5,4,15,10.0,10.0,1,1,0,,tail 10 ft
5,5,15,10.0,10.0,1,1,0,,tail 10 ft
5,6,15,10.0,10.0,1,1,0,,tail 10 ft
5,7,15,10.0,10.0,1,1,0,,tail 10 ft
5,8,15,10.0,10.0,1,1,0,,tail 10 ft
5,9,15,10.0,10.0,1,1,0,,tail 10 ft
5,10,15,10.0,10.0,1,1,0,,tail 10 ft
5,11,15,10.0,10.0,1,1,0,,tail 10 ft
5,12,15,10.0,10.0,1,1,0,,tail 10 ft
5,13,15,10.0,9.66,1,1,1,90° bend,"feed 7 ft 2-1/8 in, bend 90 (roll 180) ; tail 1 ft 2-7/8 in"
5,14,15,10.0,9.66,1,1,1,90° bend,"feed 9-1/8 in, bend 90 (roll 90 CW) ; tail 7 ft 7-7/8 in"
5,15,15,2.88,2.88,1,0,0,,tail 2 ft 10-5/8 in
6,1,14,10.0,9.66,0,1,1,90° bend,"feed 3 ft 11 in, bend 90 (roll 0) ; tail 4 ft 6 in"
6,2,14,10.0,9.66,1,1,1,90° bend,"feed 4 ft 8-1/2 in, bend 90 (roll 90 CCW) ; tail 3 ft 8-1/2 in"
6,3,14,10.0,10.0,1,1,0,,tail 10 ft
6,4,14,10.0,10.0,1,1,0,,tail 10 ft
6,5,14,10.0,10.0,1,1,0,,tail 10 ft
6,6,14,10.0,10.0,1,1,0,,tail 10 ft
6,7,14,10.0,10.0,1,1,0,,tail 10 ft
6,8,14,10.0,10.0,1,1,0,,tail 10 ft
6,9,14,10.0,10.0,1,1,0,,tail 10 ft
6,10,14,10.0,10.0,1,1,0,,tail 10 ft
6,11,14,10.0,10.0,1,1,0,,tail 10 ft
6,12,14,10.0,10.0,1,1,0,,tail 10 ft
6,13,14,10.0,9.66,1,1,1,90° bend,"feed 4 ft 6-1/16 in, bend 90 (roll 180) ; tail 3 ft 10-15/16 in"
6,14,14,9.94,9.6,1,0,1,90° bend,"feed 7 ft 1-1/16 in, bend 90 (roll 0) ; tail 1 ft 3-1/4 in"
7,1,14,10.0,9.66,0,1,1,90° bend,"feed 4 ft 4-1/2 in, bend 90 (roll 0) ; tail 4 ft 1/2 in"
7,2,14,10.0,10.0,1,1,0,,tail 10 ft
7,3,14,10.0,9.66,1,1,1,90° bend,"feed 3 ft 1-1/4 in, bend 90 (roll 90 CCW) ; tail 5 ft 3-3/4 in"
7,4,14,10.0,10.0,1,1,0,,tail 10 ft
7,5,14,10.0,10.0,1,1,0,,tail 10 ft
7,6,14,10.0,10.0,1,1,0,,tail 10 ft
7,7,14,10.0,10.0,1,1,0,,tail 10 ft
7,8,14,10.0,10.0,1,1,0,,tail 10 ft
7,9,14,10.0,10.0,1,1,0,,tail 10 ft
7,10,14,10.0,10.0,1,1,0,,tail 10 ft
7,11,14,10.0,10.0,1,1,0,,tail 10 ft
7,12,14,10.0,9.32,1,1,2,90° bend; 90° bend,"feed 3 ft 4-13/16 in, bend 90 (roll 180) ; feed 3 ft 4 in, bend 90 (roll 90 CW) ; tail 1-3/16 in"
7,13,14,9.95,9.95,1,1,0,,tail 9 ft 11-5/16 in
7,14,14,0.5,0.5,1,0,0,,tail 6 in
8,1,13,10.0,9.66,0,1,1,90° bend,"feed 4 ft 6 in, bend 90 (roll 0) ; tail 3 ft 11 in"
8,2,13,10.0,9.66,1,1,1,90° bend,"feed 4 ft 3-1/4 in, bend 90 (roll 90 CCW) ; tail 4 ft 1-3/4 in"
8,3,13,10.0,10.0,1,1,0,,tail 10 ft
8,4,13,10.0,10.0,1,1,0,,tail 10 ft
8,5,13,10.0,10.0,1,1,0,,tail 10 ft
8,6,13,10.0,10.0,1,1,0,,tail 10 ft
8,7,13,10.0,10.0,1,1,0,,tail 10 ft
8,8,13,10.0,10.0,1,1,0,,tail 10 ft
8,9,13,10.0,10.0,1,1,0,,tail 10 ft
8,10,13,10.0,10.0,1,1,0,,tail 10 ft
8,11,13,10.0,10.0,1,1,0,,tail 10 ft
8,12,13,10.0,10.0,1,1,0,,tail 10 ft
8,13,13,8.09,8.09,1,0,0,,tail 8 ft 1-1/16 in
9,1,13,10.0,10.0,0,1,0,,tail 10 ft
9,2,13,10.0,10.0,1,1,0,,tail 10 ft
9,3,13,10.0,10.0,1,1,0,,tail 10 ft
9,4,13,10.0,10.0,1,1,0,,tail 10 ft
9,5,13,10.0,10.0,1,1,0,,tail 10 ft
9,6,13,10.0,10.0,1,1,0,,tail 10 ft
9,7,13,10.0,10.0,1,1,0,,tail 10 ft
9,8,13,10.0,10.0,1,1,0,,tail 10 ft
9,9,13,10.0,10.0,1,1,0,,tail 10 ft
9,10,13,10.0,10.0,1,1,0,,tail 10 ft
9,11,13,10.0,10.0,1,1,0,,tail 10 ft
9,12,13,10.0,9.66,1,1,2,90° bend; 14° bend,"feed 1 ft 1-1/2 in, bend 90 (roll 0) ; feed 4 ft 8-3/16 in, bend 14 (roll 180) ; tail 2 ft 5 in"
9,13,13,7.7,7.36,1,0,1,90° bend,"feed 1 ft 3-3/8 in, bend 90 (roll 90 CCW) ; tail 4 ft 10 in"
10,1,13,10.0,10.0,0,1,0,,tail 10 ft
10,2,13,10.0,10.0,1,1,0,,tail 10 ft
10,3,13,10.0,10.0,1,1,0,,tail 10 ft
10,4,13,10.0,10.0,1,1,0,,tail 10 ft
10,5,13,10.0,10.0,1,1,0,,tail 10 ft
10,6,13,10.0,10.0,1,1,0,,tail 10 ft
10,7,13,10.0,10.0,1,1,0,,tail 10 ft
10,8,13,10.0,10.0,1,1,0,,tail 10 ft
10,9,13,10.0,10.0,1,1,0,,tail 10 ft
10,10,13,10.0,10.0,1,1,0,,tail 10 ft
10,11,13,10.0,10.0,1,1,0,,tail 10 ft
10,12,13,10.0,9.66,1,1,2,90° bend; 10° bend,"feed 1 ft 2-5/16 in, bend 90 (roll 0) ; feed 3 ft 7-9/16 in, bend 10 (roll 180) ; tail 3 ft 5-1/2 in"
10,13,13,7.47,7.13,1,0,1,90° bend,"feed 1 ft 8-3/16 in, bend 90 (roll 90 CCW) ; tail 4 ft 2-1/2 in"
11,1,13,10.0,9.66,0,1,1,90° bend,"feed 4 ft 3-1/2 in, bend 90 (roll 0) ; tail 4 ft 1-1/2 in"
11,2,13,10.0,10.0,1,1,0,,tail 10 ft
11,3,13,10.0,9.93,1,1,2,45° bend; 45° bend,"feed 1 ft 9-1/16 in, bend 45 (roll 90 CCW) ; feed 2 ft 2-11/16 in, bend 45 (roll 0) ; tail 4 ft 8-1/2 in"
11,4,13,10.0,10.0,1,1,0,,tail 10 ft
11,5,13,10.0,10.0,1,1,0,,tail 10 ft
11,6,13,10.0,10.0,1,1,0,,tail 10 ft
11,7,13,10.0,10.0,1,1,0,,tail 10 ft
11,8,13,10.0,10.0,1,1,0,,tail 10 ft
11,9,13,10.0,10.0,1,1,0,,tail 10 ft
11,10,13,10.0,10.0,1,1,0,,tail 10 ft
11,11,13,10.0,10.0,1,1,0,,tail 10 ft
11,12,13,10.0,9.75,1,1,2,7.5° bend; 82.6° bend,"feed 6-11/16 in, bend 7.5 (roll 90 CW) ; feed 1 ft 9-1/2 in, bend 82.6 (roll 90 CW) ; tail 6 ft 1-13/16 in"
11,13,13,7.23,7.23,1,0,0,,tail 7 ft 2-3/4 in
12,1,13,10.0,9.66,0,1,2,90° bend; 22.5° bend,"feed 3 ft 10-1/2 in, bend 90 (roll 0) ; feed 1 ft 3-7/8 in, bend 22.5 (roll 90 CW) ; tail 2 ft 10-13/16 in"
12,2,13,10.0,9.66,1,1,1,90° bend,"feed 5 ft 4-3/16 in, bend 90 (roll 0) ; tail 3 ft 13/16 in"
12,3,13,10.0,10.0,1,1,0,,tail 10 ft
12,4,13,10.0,10.0,1,1,0,,tail 10 ft
12,5,13,10.0,10.0,1,1,0,,tail 10 ft
12,6,13,10.0,10.0,1,1,0,,tail 10 ft
12,7,13,10.0,10.0,1,1,0,,tail 10 ft
12,8,13,10.0,10.0,1,1,0,,tail 10 ft
12,9,13,10.0,10.0,1,1,0,,tail 10 ft
12,10,13,10.0,10.0,1,1,0,,tail 10 ft
12,11,13,10.0,10.0,1,1,0,,tail 10 ft
12,12,13,10.0,10.0,1,1,0,,tail 10 ft
12,13,13,5.92,5.92,1,0,0,,tail 5 ft 11 in
13,1,13,10.0,9.66,0,1,2,90° bend; 10° bend,"feed 4 ft 10 in, bend 90 (roll 0) ; feed 2 ft 4-11/16 in, bend 10 (roll 90 CW) ; tail 1 ft 11/16 in"
13,2,13,10.0,9.66,1,1,1,90° bend,"feed 4 ft 4-15/16 in, bend 90 (roll 0) ; tail 4 ft 1/16 in"
13,3,13,10.0,10.0,1,1,0,,tail 10 ft
13,4,13,10.0,10.0,1,1,0,,tail 10 ft
13,5,13,10.0,10.0,1,1,0,,tail 10 ft
13,6,13,10.0,10.0,1,1,0,,tail 10 ft
