run,conduit,outer_diameter_mm,length_ft,length_mm,num_bends,bend_angles_deg
1,EMT,55.8,180.72,55084.2,7,90 30 45 45 30 30 82.6
2,EMT,55.8,143.38,43703.1,3,90 90 90
3,EMT,55.8,143.3,43677.7,3,90 90 90
4,EMT,55.8,142.97,43576.1,3,90 90 90
5,EMT,55.8,142.88,43550.7,3,90 90 90
6,EMT,55.8,139.94,42654.2,4,90 90 90 90
7,EMT,55.8,130.45,39759.7,4,90 90 90 90
8,EMT,55.8,128.09,39041.5,2,90 90
9,EMT,55.8,127.7,38921.8,3,90 14 90
10,EMT,55.8,127.47,38854.3,3,90 10 90
11,EMT,55.8,127.23,38779.7,5,90 45 45 7.5 82.6
12,EMT,55.8,125.92,38380.0,3,90 22.5 90
13,EMT,55.8,124.6,37978.2,3,90 10 90
14,EMT,55.8,124.35,37902.7,5,90 6 90 10 10
15,EMT,55.8,123.09,37518.4,4,90 90 90 90
16,RNC Sch 80,168.3,117.35,35769.7,3,90 30 90
17,EMT,55.8,116.81,35603.4,6,90 22.5 22.5 22.5 22.5 90
18,RNC Sch 80,168.3,114.44,34881.7,3,90 12.5 90
19,EMT,55.8,112.72,34355.6,4,90 90 22.5 22.5
20,EMT,55.8,111.24,33905.8,11,90 60 30 45 45 30 30 45 45 30 90
21,EMT,55.8,109.97,33519.8,6,90 45 45 45 10 82.7
22,EMT,55.8,107.06,32630.8,5,90 45 45 45 82.6
23,EMT,55.8,104.65,31897.8,4,90 90 90 90
24,EMT,55.8,104.51,31855.6,2,90 90
25,EMT,55.8,103.59,31573.9,2,90 90
26,EMT,55.8,103.05,31409.9,2,90 90
27,EMT,55.8,102.38,31205.2,8,90 90 22.5 22.5 22.5 22.5 22.5 22.5
28,EMT,55.8,97.05,29580.0,2,90 90
29,EMT,55.8,94.97,28945.7,6,90 30 30 90 22.5 22.5
30,EMT,55.8,90.0,27431.8,6,90 22.5 22.5 22.5 22.5 90
31,EMT,55.8,88.17,26872.7,4,90 90 10 82.7
32,EMT,55.8,85.8,26153.2,8,90 30 30 30 30 90 90 90
33,EMT,55.8,63.85,19461.3,0,
34,EMT,55.8,63.64,19398.8,6,90 22.5 22.5 22.5 22.5 90
35,EMT,55.8,63.37,19315.8,4,90 90 90 90
36,EMT,55.8,63.21,19266.1,6,90 22.5 22.5 22.5 22.5 90
37,EMT,55.8,61.28,18679.0,8,90 30 30 30 30 90 90 90
38,EMT,55.8,53.17,16206.1,4,90 10 10 90
39,EMT,55.8,44.98,13709.8,4,90 90 12.5 12.5
40,EMT,55.8,44.85,13670.4,4,90 90 22.5 22.5
